n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Yaw (°),Flag
0,2025-03-22 12:33:33,0.004,0.17060367999999998,,22.104,-1,-1,0.0,0.0,0.0,Before Launch
1,2025-03-22 12:33:33,0.047,-1.42060372,,22.102,-1,-1,0.0,0.0,0.0,Before Launch
2,2025-03-22 12:33:33,0.095,-1.52887144,,22.109,-1,-1,0.0,0.0,0.0,Before Launch
3,2025-03-22 12:33:33,0.139,-0.08858268,,22.094,-1,-1,0.0,0.0,0.0,Before Launch
4,2025-03-22 12:33:33,0.181,-0.07545932,,22.102,-1,-1,0.0,0.0,0.0,Before Launch
5,2025-03-22 12:33:33,0.224,-1.3943569999999998,,22.114,-1,-1,0.0,0.0,0.0,Before Launch
6,2025-03-22 12:33:33,0.266,-1.2860892800000001,,22.104,-1,-1,0.0,0.0,0.0,Before Launch
7,2025-03-22 12:33:33,0.309,-0.69225724,,22.109,-1,-1,0.0,0.0,0.0,Before Launch
8,2025-03-22 12:33:33,0.353,0.049212599999999995,,22.107,-1,-1,0.0,0.0,0.0,Before Launch
9,2025-03-22 12:33:33,0.395,-1.7716536,,22.107,-1,-1,0.0,0.0,0.0,Before Launch
10,2025-03-22 12:33:33,0.438,-1.1679790399999999,,22.102,-1,-1,0.0,0.0,0.0,Before Launch
11,2025-03-22 12:33:33,0.481,-0.67913388,,22.107,-1,-1,0.0,0.0,0.0,Before Launch
12,2025-03-22 12:33:34,0.523,0.29199475999999996,,22.104,-1,-1,0.0,0.0,0.0,Before Launch
13,2025-03-22 12:33:34,0.569,-0.66601052,,22.114,0.0,0.0,0.0,0.0,0.0,Before Launch
14,2025-03-22 12:33:34,0.614,-1.27296592,,22.107,0.0,0.0,0.0,0.0,0.0,Before Launch
15,2025-03-22 12:33:34,0.658,-0.69553808,,22.092,0.0,0.0,0.0,0.0,0.0,Before Launch
16,2025-03-22 12:33:34,0.701,-0.45275592000000003,,22.094,0.0,0.0,0.0,0.0,0.0,Before Launch
17,2025-03-22 12:33:34,0.744,0.54790028,,22.112,0.0,0.0,0.0,0.0,0.0,Before Launch
18,2025-03-22 12:33:34,0.786,-0.31496064,,22.107,0.0,0.0,0.0,0.0,0.0,Before Launch
19,2025-03-22 12:33:34,0.829,-2.0013123999999998,,22.112,0.0,0.0,0.0,0.0,0.0,Before Launch
20,2025-03-22 12:33:34,0.872,-1.4074803599999999,,22.107,0.0,0.0,0.0,0.0,0.0,Before Launch
21,2025-03-22 12:33:34,0.916,-0.90879268,,22.112,0.0,0.0,0.0,0.0,0.0,Before Launch
22,2025-03-22 12:33:34,0.959,-1.2992126400000001,,22.109,0.0,0.0,0.0,0.0,0.0,Before Launch
23,2025-03-22 12:33:34,1.002,0.17060367999999998,,22.099,0.0,0.0,25.32449465124929,-22.800126730137148,25.781492033864097,Before Launch
24,2025-03-22 12:33:34,1.055,-0.92191604,,22.104,0.0,0.0,34.09197526756904,-33.5481787075541,33.67220122250298,Before Launch
25,2025-03-22 12:33:34,1.1,0.89895016,0.665,22.104,0.0,0.0,40.215144780717864,-39.997234737739966,40.02724815620946,Before Launch
26,2025-03-22 12:33:34,1.143,0.18372704,1.464,22.112,0.0,0.0,26.81155461174867,-28.51874650209087,74.98850974957247,Before Launch
27,2025-03-22 12:33:34,1.187,-1.63713916,-0.099,22.112,0.0,0.0,11.120627235441528,-15.317949905660772,113.51281918136473,Before Launch
28,2025-03-22 12:33:34,1.232,-1.1646982,-0.985,22.109,0.0,0.0,6.6925777445316115,-11.616502909445243,123.96970844452389,Before Launch
29,2025-03-22 12:33:34,1.276,-0.31496064,-0.219,22.107,0.0,0.0,1.3067211651835282,-7.13065388422082,136.9442437022298,Before Launch
30,2025-03-22 12:33:34,1.318,-0.67913388,0.654,22.107,0.0,0.0,-0.27516010956989057,-5.824156914858275,140.57389454130168,Before Launch
31,2025-03-22 12:33:34,1.363,-1.04330712,0.221,22.109,0.0,0.0,-2.2165146286182322,-4.222492818747183,145.13493126993728,Before Launch
32,2025-03-22 12:33:34,1.405,0.28871391999999996,0.895,22.102,0.0,0.0,-2.795734811755952,-3.7441317257349973,146.41303245153796,Before Launch
33,2025-03-22 12:33:34,1.448,-1.52887144,-1.441,22.109,0.0,0.0,-3.4835448439060075,-3.1919862406646953,147.86171885466248,Before Launch
34,2025-03-22 12:33:34,1.494,-0.90879268,0.785,22.112,0.0,0.0,-3.6852686466954667,-3.006928232819937,148.22855008892085,Before Launch
35,2025-03-22 12:33:35,1.536,-1.1646982,0.003,22.109,0.0,0.0,-3.9365176230142143,-2.801385963840885,148.50613383898917,Before Launch
36,2025-03-22 12:33:35,1.579,-1.4074803599999999,-0.663,22.107,0.0,0.0,-4.018937846265878,-2.7633049872228734,148.62708777118544,Before Launch
37,2025-03-22 12:33:35,1.622,-2.12270348,-2.197,22.114,0.0,0.0,-4.115517717663776,-2.718389819924917,148.79929401036983,Before Launch
38,2025-03-22 12:33:35,1.666,-1.1646982,-0.455,22.089,0.0,0.0,-4.141728987541323,-2.6550642173391847,149.0589887254772,Before Launch
39,2025-03-22 12:33:35,1.717,-1.1646982,0.098,22.109,0.0,0.0,-4.150792097033058,-2.646779454965658,149.17826319171635,Before Launch
40,2025-03-22 12:33:35,1.76,-1.52887144,-0.756,22.109,0.0,0.0,-4.194473599055697,-2.6060761810282878,149.3390563048071,Before Launch
41,2025-03-22 12:33:35,1.803,-1.1515748399999999,-0.634,22.117,0.0,0.0,-4.206377966827333,-2.5867348744440353,149.37218167376432,Before Launch
42,2025-03-22 12:33:35,1.846,-0.43635172,-0.893,22.114,0.0,0.0,-4.21467930420548,-2.5981486488766246,149.32315851432045,Before Launch
43,2025-03-22 12:33:35,1.889,-1.52887144,-1.101,22.109,0.0,0.0,-4.245997624723449,-2.6045320641294323,149.23948377537602,Before Launch
44,2025-03-22 12:33:35,1.932,-0.43635172,1.419,22.109,0.0,0.0,-4.2125404328739116,-2.588575856439169,149.1140483646549,Before Launch
45,2025-03-22 12:33:35,1.974,-1.63713916,-0.208,22.092,0.0,0.0,-4.203905608202954,-2.609458051920422,149.03381536390435,Before Launch
46,2025-03-22 12:33:35,2.019,-1.63713916,-0.66,22.112,0.0,0.0,-4.203201924223831,-2.6262590727767843,148.91909551589927,Before Launch
47,2025-03-22 12:33:35,2.065,-0.67913388,0.561,22.107,0.0,0.0,-4.211875765490102,-2.6375095063042187,148.88142533017128,Before Launch
48,2025-03-22 12:33:35,2.107,-0.43963256,-0.552,22.102,0.0,0.0,-4.206658288687921,-2.641531682924367,148.84530189299736,Before Launch
49,2025-03-22 12:33:35,2.149,-0.90879268,0.012,22.112,0.0,0.0,-4.190299480182368,-2.6365447540366267,148.8430420625934,Before Launch
50,2025-03-22 12:33:35,2.193,-0.31496064,-1.111,22.107,0.0,0.0,-4.183681239027751,-2.650557843814814,148.9235847200891,Before Launch
51,2025-03-22 12:33:35,2.236,-0.31496064,-0.456,22.107,0.0,0.0,-4.192161953558747,-2.63373020703213,148.94840206824668,Before Launch
52,2025-03-22 12:33:35,2.28,-0.19356956,1.321,22.104,0.0,0.0,-4.160190206228552,-2.611531672804771,149.0035539127317,Before Launch
53,2025-03-22 12:33:35,2.323,-0.67913388,0.445,22.107,0.0,0.0,-4.175769772787368,-2.6233802619333235,149.04882506182804,Before Launch
54,2025-03-22 12:33:35,2.365,-0.5577428,-0.223,22.104,0.0,0.0,-4.1916324902699325,-2.6012282623444882,149.08061644348967,Before Launch
55,2025-03-22 12:33:35,2.408,-0.31496064,0.334,22.117,0.0,0.0,-4.199687844137558,-2.598868658177966,149.0873337418927,Before Launch
56,2025-03-22 12:33:35,2.45,-0.7874015999999999,0.235,22.117,0.0,0.0,-4.165337582060663,-2.5784761495041546,149.03568359729098,Before Launch
57,2025-03-22 12:33:35,2.493,-0.08858268,-0.347,22.094,0.0,0.0,-4.152969757232857,-2.6214713142290678,148.96367088647725,Before Launch
58,2025-03-22 12:33:36,2.543,-1.4074803599999999,0.111,22.107,0.0,0.0,-4.161141000164583,-2.6183551959549263,148.96205635616448,Before Launch
59,2025-03-22 12:33:36,2.589,0.41338584,1.207,22.107,0.0,0.0,-4.111703195000173,-2.613849258468554,148.96514961584361,Before Launch
60,2025-03-22 12:33:36,2.634,-1.52887144,-0.332,22.099,0.0,0.0,-4.101320480737995,-2.610355021985225,148.93979069239253,Before Launch
61,2025-03-22 12:33:36,2.676,-0.43963256,0.882,22.102,0.0,0.0,-4.12795582929556,-2.5847005069572595,148.92835109348823,Before Launch
62,2025-03-22 12:33:36,2.719,-2.25393708,-0.12,22.109,0.0,0.0,-4.132695420763303,-2.595225708357424,148.9366819372614,Before Launch
63,2025-03-22 12:33:36,2.762,-2.3654856399999997,-1.096,22.112,0.0,0.0,-4.138264830273959,-2.5979548952244302,148.88638439517118,Before Launch
64,2025-03-22 12:33:36,2.805,-0.30183728,0.793,22.114,0.0,0.0,-4.138277786236067,-2.6033601837014366,148.84959920381692,Before Launch
65,2025-03-22 12:33:36,2.848,-1.63713916,-0.1,22.112,0.0,0.0,-4.131609225676764,-2.591364544770408,148.77343368150133,Before Launch
66,2025-03-22 12:33:36,2.891,-2.13582684,-0.905,22.104,0.0,0.0,-4.122747701270338,-2.594865585469365,148.75670243321156,Before Launch
67,2025-03-22 12:33:36,2.933,-0.92191604,-0.447,22.104,0.0,0.0,-4.122189819216758,-2.6101894913505275,148.70711282721282,Before Launch
68,2025-03-22 12:33:36,2.978,-0.5446194400000001,0.904,22.112,0.0,0.0,-4.126090785602119,-2.6027112472341853,148.71905680575637,Before Launch
69,2025-03-22 12:33:36,3.02,-0.5577428,-0.112,22.104,0.0,0.0,-4.129130832188914,-2.5819358912235,148.71456312481695,Before Launch
70,2025-03-22 12:33:36,3.063,-0.67913388,0.88,22.107,0.0,0.0,-4.12789733523382,-2.5761188491484925,148.715013499254,Before Launch
71,2025-03-22 12:33:36,3.105,-1.27296592,0.335,22.112,0.0,0.0,-4.130880099678886,-2.5678099832317964,148.76823382405092,Before Launch
72,2025-03-22 12:33:36,3.148,-0.19356956,0.448,22.104,0.0,0.0,-4.12455269659692,-2.55650039288631,148.79060493625684,Before Launch
73,2025-03-22 12:33:36,3.192,-0.31496064,0.115,22.107,0.0,0.0,-4.14580801503652,-2.5299695231658026,148.97071103556792,Before Launch
74,2025-03-22 12:33:36,3.236,-0.43635172,0.435,22.107,0.0,0.0,-4.129575187057198,-2.5360943061503147,149.0429596543118,Before Launch
75,2025-03-22 12:33:36,3.279,-2.24409456,-1.776,22.117,0.0,0.0,-4.13879305219744,-2.5320610822353715,149.15132995961238,Before Launch
76,2025-03-22 12:33:36,3.322,1.74540688,1.897,22.107,0.0,0.0,-4.145074307750702,-2.5123187098683726,149.18888970628475,Before Launch
77,2025-03-22 12:33:36,3.367,-0.07217847999999999,0.112,22.109,0.0,0.0,-4.150179451943687,-2.531124274729843,149.33925810359412,Before Launch
78,2025-03-22 12:33:36,3.412,-0.43635172,0.223,22.109,0.0,0.0,-4.147805795200584,-2.5319956074661207,149.46178238792075,Before Launch
79,2025-03-22 12:33:36,3.465,-1.27296592,-0.65,22.112,0.0,0.0,-4.173045458319275,-2.5085587704638495,149.50610876288468,Before Launch
80,2025-03-22 12:33:37,3.507,-1.3943569999999998,-0.982,22.114,0.0,0.0,-4.202208953680857,-2.5096266936349894,149.42004155785602,Before Launch
81,2025-03-22 12:33:37,3.551,-0.059055119999999996,0.662,22.107,0.0,0.0,-4.195377481102109,-2.5572257579575535,149.40069835006307,Before Launch
82,2025-03-22 12:33:37,3.597,-0.5446194400000001,-0.413,22.112,0.0,0.0,-4.1919904524460785,-2.569112094725914,149.37080015168175,Before Launch
83,2025-03-22 12:33:37,3.64,-1.1646982,0.221,22.109,0.0,0.0,-4.205013561197522,-2.537433544510592,149.37454989078228,Before Launch
84,2025-03-22 12:33:37,3.683,-0.1804462,-0.543,22.112,0.0,0.0,-4.18087710480855,-2.5403966930429966,149.4152425059044,Before Launch
85,2025-03-22 12:33:37,3.728,0.41338584,1.775,22.109,0.0,0.0,-4.162297250829115,-2.5545951021540807,149.45507449259452,Before Launch
86,2025-03-22 12:33:37,3.771,-1.4074803599999999,-0.884,22.107,0.0,0.0,-4.127236263573814,-2.5318176269383494,149.50194095147182,Before Launch
87,2025-03-22 12:33:37,3.817,-0.07217847999999999,1.987,22.097,0.0,0.0,-4.129448513406343,-2.5513706026898926,149.52300921529567,Before Launch
88,2025-03-22 12:33:37,3.865,-0.30183728,1.871,22.112,0.0,0.0,-4.132647399625715,-2.483358361262033,149.52925539401275,Before Launch
89,2025-03-22 12:33:37,3.909,-2.12270348,-1.649,22.114,0.0,0.0,-4.141989475650173,-2.4736479511350353,149.50344029947755,Before Launch
90,2025-03-22 12:33:37,3.953,0.062335959999999996,1.538,22.114,0.0,0.0,-4.160090963079873,-2.5074511103898,149.420856099793,Before Launch
91,2025-03-22 12:33:37,3.997,-1.52887144,0.549,22.109,0.0,0.0,-4.167550876773001,-2.5106140367402756,149.36356035910995,Before Launch
92,2025-03-22 12:33:37,4.041,-1.2696850800000001,-0.314,22.119,0.0,0.0,-4.145766229348827,-2.5073111179356142,149.09236397125602,Before Launch
93,2025-03-22 12:33:37,4.086,-1.8799213199999998,-1.205,22.117,0.0,0.0,-4.143734678425585,-2.5272308013674487,148.9948582638647,Before Launch
94,2025-03-22 12:33:37,4.13,-0.90879268,-0.316,22.112,0.0,0.0,-4.1406193561802676,-2.5608733262967807,148.8890602982958,Before Launch
95,2025-03-22 12:33:37,4.173,-0.43635172,0.219,22.109,0.0,0.0,-4.127229410736558,-2.5934119536930136,148.84380160916547,Before Launch
96,2025-03-22 12:33:37,4.22,-0.07217847999999999,1.077,22.109,0.0,0.0,-4.150007234303431,-2.5892140350737387,148.96113743908938,Before Launch
97,2025-03-22 12:33:37,4.262,-0.07217847999999999,0.109,22.109,0.0,0.0,-4.151574426615914,-2.5740099118689086,149.04008166493924,Before Launch
